file,sheet,supplier_guess,header_row_index,row_sample_count,mapped_fields,columns_detected,error
Music Power Pricelist (August 2025).xlsx,Index,Mu ic Power Priceli t (Augu t 2025),11.0,8.0,"category, product_name",11,
Music Power Pricelist (August 2025).xlsx,Order Sheet,Mu ic Power Priceli t (Augu t 2025),1.0,200.0,"product_name, sku, stock_on_hand, vat_rate",10,
Music Power Pricelist (August 2025).xlsx,Aquarian,Mu ic Power Priceli t (Augu t 2025),1.0,118.0,"product_name, sku, stock_on_hand, vat_rate",4,
Music Power Pricelist (August 2025).xlsx,Arturia,Mu ic Power Priceli t (Augu t 2025),2.0,49.0,"product_name, sku, stock_on_hand, vat_rate",5,
Music Power Pricelist (August 2025).xlsx,Saga,Mu ic Power Priceli t (Augu t 2025),1.0,10.0,"product_name, sku, stock_on_hand, vat_rate",4,
Music Power Pricelist (August 2025).xlsx,Dixon Guitar,Mu ic Power Priceli t (Augu t 2025),1.0,6.0,"product_name, sku, stock_on_hand, vat_rate",5,
Alpha-Technologies-Pricelist-August-2025- (2).xlsx,Front Page,Alpha-Technologie -Priceli t-Augu t-2025- (2),5.0,44.0,"category, cost_price",3,
Alpha-Technologies-Pricelist-August-2025- (2).xlsx,Alfatron Audio,Alpha-Technologie -Priceli t-Augu t-2025- (2),2.0,63.0,"product_name, sku",4,
Alpha-Technologies-Pricelist-August-2025- (2).xlsx,Alfatron AV Cables & Connectors,Alpha-Technologie -Priceli t-Augu t-2025- (2),2.0,74.0,"product_name, sku",4,
Alpha-Technologies-Pricelist-August-2025- (2).xlsx,Alfatron Display & UC ,Alpha-Technologie -Priceli t-Augu t-2025- (2),2.0,30.0,"product_name, sku",4,
Alpha-Technologies-Pricelist-August-2025- (2).xlsx,Alfatron PTZ & Controllers,Alpha-Technologie -Priceli t-Augu t-2025- (2),2.0,36.0,"product_name, sku",4,
Alpha-Technologies-Pricelist-August-2025- (2).xlsx,Alfatron Signal Management,Alpha-Technologie -Priceli t-Augu t-2025- (2),2.0,62.0,"product_name, sku",4,
Pro Audio platinum .xlsx,CONTENT,Pro Audio platinum,0.0,39.0,product_name,12,
Pro Audio platinum .xlsx,AEROBAND,Pro Audio platinum,5.0,63.0,"cost_price, product_name, sku",12,
Pro Audio platinum .xlsx,ATIES & LDA & EVAC,Pro Audio platinum,5.0,125.0,"cost_price, product_name, sku",12,
Pro Audio platinum .xlsx,ATIES & PENTON,Pro Audio platinum,5.0,119.0,"cost_price, product_name, sku",12,
Pro Audio platinum .xlsx,AUDIO TECHNICA CONSUMER,Pro Audio platinum,5.0,130.0,"cost_price, product_name, sku",8,
Pro Audio platinum .xlsx,AUDIO TECHNICA PRO,Pro Audio platinum,5.0,200.0,"cost_price, product_name, sku",8,
