SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
CABHYB049;HYBRID;CT02;"Cable tester- XLR- NL4- 1/4"" jack- RCA- powercon";685;1+;570
CABHYB050;HYBRID;SPE-SPK-SPK-2M;Speakon - Speakon- 2 x 2mm core- 2M speaker cable. Suitable for pegboard display;104;1+;86
CABHYB051;HYBRID;SIG-UB-J(M)-J(M)-1M/6P;Jack - Jack 6.5mm- mono- unbal- 1M- 6 colour pack;348;1+;290
CABHYB052;HYBRID;SIG-BAL-X(F)-X(M)-1M/6P;XLR(Female) - XLR(Male)- balanced- 1M- 6 colour pack;365;1+;304
CABHYB053;HYBRID;SIG-BAL-2X(M)-X(F)-0.3M;XLR(Female) - 2 x XLR(Male)- balanced- 0.3M. Suitable for pegboard display;80;1+;66
CABHYB054;HYBRID;SIG-UB-2X(M)-2RCA-1.8M;2 x RCA - 2 x XLR(Male)- unbalanced- 1.8M. Suitable for pegboard display;127;1+;105
CABHYB059;HYBRID;SIG-BAL-J(S)-J(S)-1M/6P;Jack-Jack 6.5mm- stereo- balanced- 1M- 6 colour pack;360;1+;300
CABHYB060;HYBRID;SIG-BAL-X(F)-X(M)-2M;XLR(Female) - XLR(Male)- Balanced Line- 2M. Suitable for pegboard display;82;1+;68
CABHYB064;HYBRID;SIG-UB-MINIJ-2X(M)-1.8M;Minijack 3.5mm stereo -2 x XLR(Male)- unbalanced- 1.8M. Suitable for pegboard;92;1+;76
CABHYB065;HYBRID;CPT2;2-Track cable protector- 990mm- (W)29mm x (H)35mm channels- 6000kg load cap;825;1+;687
CABHYB066;HYBRID;CPT3;3-Track cable protector- 990mm- (W)34mm x (H)32mm channels- 6000kg load cap;807;1+;672
CABHYB071;HYBRID;CTIE-150MM-BLK-10PC;Cable straps- 150mm long- 10Pcs blister pack. Suitable for pegboard display. (Black);35;1+;29
CABHYB072;HYBRID;CTIE-150MM-RED-10PC;Cable straps- 150mm long- 10Pcs blister pack. Suitable for pegboard display. (Red);35;1+;29
CABHYB073;HYBRID;CTIE-150MM-BLU-10PC;Cable straps- 150mm long- 10Pcs blister pack. Suitable for pegboard display. (Blue);35;1+;29
CABHYB074;HYBRID;CTIE-150MM-GR-10PC;Cable straps- 150mm long- 10Pcs blister pack.Suitable for pegboard display.(Green);35;1+;29
CABHYB075;HYBRID;CTIE-250MM-BLK-10PC;Cable straps- 250mm long- 10Pcs blister pack. Suitable for pegboard display. (Black);43;1+;35
CABHYB076;HYBRID;CTIE-250MM-RED-10PC;Cable straps- 250mm long- 10Pcs blister pack. Suitable for pegboard display. (Red);43;1+;35
CABHYB077;HYBRID;CTIE-250MM-BLU-10PC;Cable straps- 250mm long- 10Pcs blister pack. Suitable for pegboard display. (Blue);43;1+;35
CABHYB078;HYBRID;CTIE-250MM-GR-10PC;Cable straps- 250mm long- 10Pcs blister pack.Suitable for pegboard display.(Green);43;1+;35
