SKU;BRAND;MODEL SEIRES;DESCRIPTION;RSP;2025-05-07 00:00:00.1;COST INC VAT
DRIBEY013;BEYMA;SMC60;"2""- 80W >1KHz- 109dB- 0.5-18KHz- 8Ω- Titanium";3290;1+;2741
DRIBEY018;BEYMA;CD151FE/PT;"1""- 70W >1.8KHz- 110dB- 0.9-20KHz- 8Ω- Polyester";1921;1+;1600
DRIBEY019;BEYMA;CD151FE/PK;"1""- 70W >1.8KHz- 110dB- 0.9-20KHz- 8Ω- Polymer";1921;1+;1600
DRIBEY020;BEYMA;CD171FE/PT;"1""- 80W >1.2KHz- 108dB- 0.8-20KHz- 8Ω- Polyester";2257;1+;1880
DRIBEY021;BEYMA;CD171FE/PK;"1""- 80W >1.4KHz- 109dB- 0.8-20KHz- 8Ω- Polymer";2257;1+;1880
DRIBEY022;BEYMA;CD-2514FE;"1.4""- 100W >1.2KHz- 1098.5dB- 0.6-20KHz- 8Ω";3361;1+;2800
DRICEL001;CELTO;FCD440-8;"1"" exit- 1.7"" VC- 40W- 8Ω (FT12/FT15/A8/A10/A12)";682;1+;568
DRICEL003;CELTO;HFD72-8;"1.4"" exit- 2.8"" VC- 100W- 8Ω (EX12 & EX152)";2760;1+;2300
DRICEL004;CELTO;HFD44A-8;"1"" exit- 1.7"" VC- 60W- 8Ω (BT8- BT8SE- BT10- BT12- BT12SE- BT15)";765;1+;637
DRICEL006;CELTO;FCD510-8;"1"" exit- 2"" VC- 80W- 8Ω- (FT152)";1286;0;1071
DRICEL008;CELTO;FCDX440-8;"1"" exit- 1.7"" VC- 60W- 8Ω (HP12- HP12MK2)";891;1+;742
DRICEL009;CELTO;FCD44-8;"1"" exit- 1.7"" VC- 50W- 8Ω (PK15/PK152/AK15/FT15SE/FT152SE)";951;1+;792
DRICEL011;CELTO;FCD738TI-8;"1.4"" exit- 2.8"" VC- 100W (LA10 / HP15/ HP152)";1810;1+;1508
DRICEL012;CELTO;HFDN72-8;"1.5"" exit- 2.8"" VC- 110W- 8Ω- neodynium magnet (VT153- VCM12- EX153)";2395;1+;1995
DRICEL014;CELTO;ACD40-8;"1""- 1.7"" VC- 80W- 8Ω (PM10/12 G2- CT8G2- CT12G2- CMP10- iFIX10+- iFIX10 G2)";2125;1+;1770
DRICEL015;CELTO;ACD45-8;"1.5"" exit- 80W- 8Ω";1019;1+;849
DRICEL017;CELTO;PCD440B;"1"" exit. 1.7"" VC- 50W- 8Ω (ALTIUM 12- ALTIUM 15- PK15UE)";717;1+;597
DRICEL018;CELTO;PCD440S;"1"" exit. 1.7"" VC- 50W- 8Ω- screw-on mounting (HP8MK2)";718;1+;598
DRICEL020;CELTO;HFD72X-8;"1.4"" exit. 2.8"" VC- 100W- 8Ω";2032;<1;1693
DRIHYB001;HYBRID;HT40;"1"" HF driver- 40W- 8Ω- 45mm VC- titanium- screw-in";292;1+;243
DRIHYB003;HYBRID;HT20;"1"" HF driver- 20W- 8Ω- 34mm VC- titanium- screw-in";219;1+;182
DRIHYB004;HYBRID;HT80;"2"" HF driver- 80W- 8Ω- 75mm VC- titanium- bolt-on";1147;1+;955
DRIHYB005;HYBRID;HT60;"1"" HF driver- 60W- 8Ω- 50mm VC- titanium- screw-in";488;1+;406
DRIHYB007;HYBRID;PARTY IN BOX-HF;"1"" HF driver for party in box. 15W- 8Ω- screw-in";101;1+;84
DRIHYB009;CELTO;HFDN72-16;"1.4"" exit- 2.8"" VC- 110W- 16Ω- neodynium (VT12/15/152- IWAC210- LA212 - EX15)";3192;1+;2660
EQUHYB001;HYBRID;S-EQ215A;Dual 15 band graphic equaliser with mono sub-bass output;1824;1+;1520
EQUHYB002;HYBRID;S-EQ231A;Dual 31 band graphic equaliser with mono sub-bass output;2545;1+;2120
FRAAUD001;AUDIOCENTER;T45-DSP-FF;Fly-frame for T45-DSP line array cabinets- 16pc/max;5929;1+;4940
FRAAUD011;AUDIOCENTER;XLA102-FF;Fly-frame for XLA102-DSP line array cabinets- 16pc/max;5305;0;4420
FRAAUD012;AUDIOCENTER;AVANDA212A-FF;Fly-frame for Avanda212A line array cabinets 16pc/max;7905;1+;6587
FRAAUD013;AUDIOCENTER;ASTRA210A-FF;Fly-frame for Astra 210A line array cabinets- 8pc/max;4235;1+;3529
FRAHYB005;HYBRID+;PLA10-FF;Fly-frame for PLA10 line-array cabinet;8144;1+;6786
FRAHYB006;HYBRID;L6-FF;Fly-frame for L6A & L6P line array cabinets;764;1+;636
FUSHYB001;HYBRID;12V-20W-FUSE;Replacement HF fuse for X1-2000-100. 12V/20W;16;1+;13
FUSHYB002;HYBRID;12V-25W-FUSE;Replacement HF fuse for X2-3500-300. 12V/25W;17;1+;14
FUSHYB003;HYBRID;24V-25W-FUSE;Replacement HF fuse for X2-1800-400. 24V/25W;16;1+;13
HEAHYB001;HYBRID DJ;HH101;DJ H/phones- 40mm drivers- detachable cable;237;1+;197
HEAHYB002;HYBRID DJ;HH101B;DJ H/phones w Bluetooth-40mm drivers-detach cable;326;1+;271
HEAHYB003;HYBRID DJ;HH201;DJ H/phones- 40mm drivers- foldable- detach cable;346;1+;288
HEAHYB004;HYBRID;HGH01;Gaming heaphones & mic for console gamers;234;1+;195
HEAHYB005;HYBRID;HGH02;Gaming heaphones & mic for PC gamers;234;1+;195
HEAHYB006;HYBRID+;HH202;DJ H/phones- 40mm drivers- foldable- detach cable;420;1+;350
HEAHYB007;HYBRID+;HH202B;DJ H/phones w Bluetooth & wireless in-ear buds;667;1+;555
HORBEY003;BEYMA;TD164P;"1"" Poly-C- 60x40°(HxV)- 160x160x100mm(WxHxD)";347;1+;289
HORBEY004;BEYMA;TD196P;"1"" Poly-C- 90x60°(HxV)- 160x160x100mm(WxHxD)";351;1+;292
HORBEY005;BEYMA;TD385 HORN;"1.4"" Alum- 80x50°(HxV)-235x235x120mm(WxHxD)";1260;1+;1050
HORBEY006;BEYMA;TD164 HORN;"1"" Alum- 60x40°(HxV)- 202x202x145mm(WxHxD)";562;1+;468
HORCEL006;CELTO;H215PO-1B;"1"" polymer horn- 80 x 50°- bolt-on mount. Size: 215 x 215 x 130mm (L x W x D)";152;1+;126
HORHYB001;HYBRID;H001;"Horn flare- 1"" throat- (width x heigth) 296mm x 105mm- plastic screw-in";62;1+;51
HORHYB002;HYBRID;H002;"Horn flare- 1"" throat- (width x heigth) 386mm x 130mm- plastic screw-in";83;1+;69
HORHYB004;HYBRID;H100A;100W-100V horn- tapp:100/5 W-Aluminium- IP66;2942;1+;2451
HORHYB006;HYBRID;H15;15W- 100V horn- 8Ω- tappings:15/7.5/3.8/1.9 W;700;1+;583
HORHYB007;HYBRID;H30;30W- 100V horn- 8Ω- tappings:30/15/7.5/3.8 W;926;1+;771
HORHYB009;HYBRID;H50A;50W-100V horn-8Ω-tapp:50/25/12/6 W-Aluminium;1298;1+;1081
HORHYB010;HYBRID;H30A;30W-100V horn-8Ω-tapp:30/15/7.5/3.8W-Aluminium;998;1+;831
LASHYB012;HYBRID;I-SHOW VER3;Laser show software ILDA+RJ45 USB interface;5328;1+;4440
LASHYB023;HYBRID;L2000RGB MK2;2W laser- RGB- 20KPPS scan rate- ILDA;8111;1+;6759
LASHYB024;HYBRID;L2000RGB IP65;2W laser- RGB- 20KPPS scan rate- IP65 rating;14697;1+;12247
LASHYB025;HYBRID;L5000RGB MK2;5W laser- RGB- 40KPPS scan rate- ILDA;32440;1+;27033
LASHYB026;HYBRID;L250RGB MK2;250mW laser- RGB- DMX + auto/sound to light;2606;1+;2171
LASHYB027;HYBRID;L210RG/D MK2;210mW laser- RGB- DMX + auto/sound to light;2213;1+;1844
LASHYB028;HYBRID;L480RGB/D MK2;480mW laser- RGB- DMX + auto/sound to light;4572;1+;3810
LASHYB029;HYBRID;L640RGB/D MK2;4 Head-160mW laser - RGBP- auto + DMX;4817;1+;4014
LASHYB030;HYBRID;L700RGB/F MK2;700mW laser- RGB- 20KPPS scan rate- ILDA;9439;1+;7865
LASHYB031;HYBRID;L1500RGB/F MK2;1.5W laser- RGB- 20KPPS scan rate- ILDA;12239;1+;10199
LASHYB032;HYBRID;L2700RGB/F MK2;2.7W laser- RGB- 25KPPS scan rate- ILDA;20890;1+;17408
LIGHYB010;HYBRID;HMH4.1;Dual source head- unlimited tilt effects light;3119;1+;2599
LIGHYB012;HYBRID;HMH GOBO;Spot light with gobo effects. 30W;3223;1+;2685
LIGHYB023;HYBRID;HS8;Strobe light with 8×25W LEDs- DMX 512- adjustable flash speed and brightness;2665;1+;2220
LIGHYB026;HYBRID;HSS 12.4;Slim par can- 12×8W RGBW LEDs- Metal housing;2369;1+;1974
LIGHYB027;HYBRID;HSS 12.6;Slim par can- 12×10W RGBWA UV LED- metal housing;3448;1+;2873
LIGHYB032;HYBRID;HU9;UV light bar with 9×3W LEDs- 120° beam angle.;1476;1+;1230
LIGHYB049;HYBRID;DMX384;384CH DMX controller w 12 fixture controls;2389;1+;1990
LIGHYB056;HYBRID;HMH GOBO II;Spot light with gobo effects. 60W;4039;1+;3365
LIGHYB070;HYBRID;HMH 100W FX;4 x Effects w 3×40W RGBW LED- w/flight case;26640;1+;22200
LIGHYB071;HYBRID+;MINI1024;DMX Lighting Controller 1024 DMX channels 7Ω TFT-LCD touchscreen Backlit keys + 4 optical backlit encoders 1000 playbacks 400 Groups-400 Presets- 400 Macros 400 user-defined shape effects;26833;1+;22360
LIGHYB072;HYBRID+;MASTER 4096;DMX Lighting Controller 4096 DMX channels 10-4Ω TFT-LCD touchscreen 1120 playbacks 400 Groups- 400 Presets- 400 Macros 400 user-defined shape effects;42375;1+;35312
LIGHYB073;HYBRID;MUSHROOM NO DMX;DJ effect- dome-style light- 6×3W RGB LEDs;383;1+;319
LIGHYB078;HYBRID;HMH230 V2;2 x Beam- 230W bulb w/flight case;26423;1+;22019
LIGHYB079;HYBRID;HMH250;2 x Beam- 250W bulb w/flight case;28283;1+;23569
LIGHYB080;HYBRID;MP20WW;Mini LED profile light with 20W WW COB LED;4584;1+;3820
LIGHYB081;HYBRID;HMH150;2 x Spot light- 150W LED w/flight case;36515;1+;30429
LIGHYB082;HYBRID;ART-NET NODE1;1-universe Art-Net to DMX512 network converter;3480;1+;2900
LIGHYB083;HYBRID;ART-NET NODE4;4-universe Art-Net to DMX512 network converter;6726;1+;5605
LIGHYB084;HYBRID;ART-NET NODE8;8-universe Art-Net to DMX512 network converter;10020;1+;8350
LIGHYB085;HYBRID;DMX-ELF;DMX Lighting Test Tool;4980;1+;4150
LIGHYB086;HYBRID;HSS 7.4 MKII;Slim par can- 7×10W RGBW LEDs- ABS housing;1104;1+;920
LIGHYB087;HYBRID;HSS 12.4 MKII;Slim par can- 12×10W RGBW LEDs- metal housing;2619;1+;2182
LIGHYB088;HYBRID;HSS 12.6 MKII;Slim par can- 12×18W RGBWA UV LED- metal housing;3631;<1;3025
LIGHYB089;HYBRID;HSS COB-C MKII;Theatre par can- 150W RGBW LED COB;2936;1+;2446
LIGHYB090;HYBRID;HSS CW MKII;Theatre par can- 200W WW+CW COB;3923;1+;3269
LIGHYB091;HYBRID;HSS COB2B MKII;Crowd Blinder- 2 x 90W WW+CW COB LEDs;5161;1+;4300
LIGHYB092;HYBRID;HMH7 MKII;7x8W RGBW moving head wash light;1533;<1;1277
LIGHYB093;HYBRID;HMH4.1 MKII;Dual source head- unlimited tilt effects light;4104;1+;3420
LIGHYB094;HYBRID;HMH6 MKII;Effects light with 6×12W RGBW LEDs;3390;1+;2825
LIGHYB095;HYBRID;HMH100B MKII;4 x Beam 100W LED w/flight case;23156;1+;19296
LIGHYB096;HYBRID;HMH100SFX MKII;4 x Spot 100W LED w/flight case;25007;1+;20839
LIGHYB097;HYBRID;HSF 5.4 MKII;Moving head light bar with 5×40W RGBW LEDs- 10×20W white LEDs;9552;1+;7960
LIGHYB098;HYBRID;HSF12.4 MKII;Stage light bar with 12×4W RGBW LEDs;2492;1+;2076
LIGHYB099;HYBRID;TRIPLE DERBY TITAN;DJ effect light- 3 lenses- RGB LEDs- DMX control;1182;1+;985
LIGHYB100;HYBRID;SIX BEAM MKII;DJ Effects light with six RGBW LEDs + strobe- DMX;7346;1+;6121
LIGHYB101;HYBRID;EIGHT BEAM MKII;DJ effect light with eight RGB LEDs with DMX;2869;1+;2390
LIGHYB102;HYBRID;HS1500;Strobe light with 864 5050RGB LEDs and 96 white LEDs;3025;1+;2520
LIGHYB104;HYBRID;DMX192;192CH DMX controller w 12 fixture controls;1778;1+;1481
LIGHYB105;HYBRID;DMX384 MKII;384CH DMX controller w 12 fixture controls (MKII);2292;1+;1910
LIGHYB106;HYBRID;MUSHROOM MKII;DJ effect- dome-style light- 6×3W RGB w/DMX;491;1+;409
LIGHYB107;HYBRID;HMH285;2 x Wash- 19 x 15 RGBWLED w/flight case;22467;1+;18722
LIGHYB108;HYBRID;HMH250 MKII;2 x Beam- 250W bulb w/flight case (MKII);30110;<1;25091
LIGHYB109;HYBRID;HMH GOBO 60;60W LED with static gobos and split-color wheel;3266;1+;2721
LIGHYB110;HYBRID;HMH GOBO 80;Spot light with gobo effects. 80W;4097;1+;3414
LIGHYB111;HYBRID;HSS 18.1 MKII;Slim par can- 18×3W RGB LEDs- ABS housing;661;0;550
LIGHYB112;HYBRID;HMH180;2 x Spot light- 180W LED w/flight case;35644;1+;29703
MEDHYB001;HYBRID;MEDIA-P;Media player / Bluetooth interface USB stick-SD card-bluetooth-FM tuner Aux input: 3.5mm jack Outputs: Stereo- unbal- RCA Large LCD display- mode selection- 6 preset EQ’s- Play/pause- prev/next track- prev/next Folder Const: moulded ABS- external PSU;380;1+;316
MEGHYB001;HYBRID;HMP-1;Handheld megaphone Power: 50W peak Microphone: detachable handset with volume control Push to talk or continously on microphone option MP3 player: USB- SD card- volume- next / prev track Rechargable lithium battery included(3H charge time);1456;1+;1213
MICHYB001;HYBRID;C2-USB;Condenser USB mic- volume control-w desktop stand;348;1+;290
MICHYB004;HYBRID;C2;Condenser aluminium pencil mic with mic holder;537;1+;447
MICHYB005;HYBRID;C2-3PK;3-pack condenser aluminium pencil mics w holders;1441;1+;1200
MICHYB006;HYBRID;D2;Dynamic metal mic w switch- 4.5m cable included;133;1+;110
MICHYB007;HYBRID;U-AV;UHF aerobics instructor headset microphone Specifically designed for aerobic instructors Transmitter: headset with integrated transmitter- infra- red sync Receiver: integrated with 1/4Ω Jack- 16 selectable freq- volume control- infra-red sync- RF LED;1541;1+;1284
MICHYB009;HYBRID;LSM-1;Livestreaming microphone with onboard DSP and LCD screen;673;1+;560
MICHYB010;HYBRID;U-SC;UHF camera microphone Range: 30 meter 15 variable selectable frequencies Audio outputs: 3.5mm jack & USB Rechargable lithium batteries included All cables & mounting accessories included;949;1+;790
MICHYB013;HYBRID;MINI U-SF HAND;Single UHF mic- fixed frequency- hand-held;900;1+;750
MICHYB014;HYBRID;MINI U-SF LAP/HEAD;Single UHF mic- fixed frequency- Lapel & headset;955;1+;795
MICHYB015;HYBRID;MINI U-DF HAND;Dual UHF mics- fixed frequencies- 2 x hand-helds;1272;1+;1060
MICHYB016;HYBRID;MINI U-DF LAP/HEAD;Dual UHF mics- fixed freq- hand held & lapel/headset;1380;0;1150
MICHYB020;HYBRID;C3;Condenser aluminium vocal mic with shock mount;701;1+;584
MICHYB021;HYBRID;C4;Condenser aluminium vocal mic with shock mount;1009;1+;840
MICHYB029;HYBRID;DK5;5Pc drum mic kit. 1 x kick drum- 2 x toms- 2 x cymbals;3242;1+;2701
MICHYB030;HYBRID;DK7A;7Pc drum mic kit. 1 x kick drum- 4 x toms- 2 x cymbals;3847;1+;3205
MICHYB031;HYBRID;DK7B;7Pc drum mic kit. 1 x kick drum- 4 x toms- 2 x cymbals;4104;1+;3420
MICHYB032;HYBRID;D1;Dynamic metal mic with switch- 5m cable included;225;1+;187
MICHYB033;HYBRID;D1-3PK;3-pack dynamic metal mics w switch- 5m cables incl.;645;1+;537
MICHYB034;HYBRID;HD004-CREAM/WHITE;Slimline headset dynamic mic- mini-XLR- cream;200;1+;166
MICHYB036;HYBRID;C1;Condenser zinc alloy microphone with shock mount;733;1+;610
MICHYB037;HYBRID;HD004-DARK BROWN;Slimline headset dynamic mic- mini-XLR- brown;200;1+;166
MICHYB042;HYBRID+;R8;"UHF- 8 channel receiver- 62 freqs/ ch- supports TH1 & TB1 transmitters. 19""- 2U";9261;1+;7717
MICHYB043;HYBRID+;R4;"UHF- 4 channel receiver- 62 freqs/ ch- supports TH1 & TB1 transmitters. 19""- 1U";4594;<1;3828
MICHYB044;HYBRID+;TH1;UHF handheld- 62 frequency- supports R4 & R8 receivers;1242;0;1035
MICHYB046;HYBRID+;TB1;UHF beltpack with lapel & headset- 62 frequency- supports R4 & R8 receivers;1633;<1;1360
MICHYB053;HYBRID;U-SV MK3 HAND;Single UHF mic- 16 freqs- hand-held. Li-battery;1762;1+;1468
MICHYB059;HYBRID;P1;"Paging desk-top microphone Capsule: Dynamic- cardioid Detachable gooseneck Push to talk switch Output: XLR male 7m XLR female - 1/4"" jack cable included Construction: Gun metal grey ABS base with black detachable gooseneck microphone";624;<1;520
MICHYB067;HYBRID;U-SF/B HAND;Single UHF mic- fixed frequency- hand-held;881;<1;734
MICHYB068;HYBRID;U-SF/B LAP;Single UHF mic- fixed frequency- Lapel;881;1+;734
MICHYB069;HYBRID;U-SF/B HEAD;Single UHF mic- fixed frequency- headset;939;1+;782
MICHYB070;HYBRID;U-DF/B HAND;Dual UHF mics- fixed frequencies- 2 x hand-helds;1204;1+;1003
MICHYB071;HYBRID;U-DF/B LAP;Dual UHF mics- fixed frequencies- hand-held & lapel;1204;1+;1003
MICHYB072;HYBRID;U-DF/B HEAD;Dual UHF mics- fixed freq- hand-held & headset;1330;1+;1108
MICHYB073;HYBRID;U-SV/B HAND;Single UHF mic- 16 frequencies- hand-held;1257;1+;1047
MICHYB074;HYBRID;U-SV/B LAP;Single UHF mic- 16 frequencies- lapel;1193;<1;994
MICHYB075;HYBRID;U-SV/B HEAD;Single UHF mic- 16 frequencies- headset;1253;1+;1044
MICHYB076;HYBRID;U-DV/B HAND;Dual UHF mics- 16 frequencies- 2 x hand-helds;1610;1+;1341
MICHYB077;HYBRID;U-DV/B LAP;Dual UHF mics- 16 frequencies- hand-held & lapel;1528;1+;1273
MICHYB078;HYBRID;U-DV/B HEAD;Dual UHF mics- 16 frequencies- hand-held & headset;1646;<1;1371
MICHYB081;HYBRID;U-DV/HH;Dual UHF mic- 100 frequenciess- hand-held;1449;1+;1207
MICHYB082;HYBRID;U-SV/HH;Single UHF mic- 100 frequenciess- hand-held;1160;1+;966
MICHYB083;HYBRID;MM1;Camera microphone- cardioid- 3.5mm jack. Microphone clip included;269;1+;224
MICHYB084;HYBRID;U-DV FE HAND;UHF mics- 100 freqs- 2 x hand-helds- feedback elim.;2514;1+;2095
MICHYB085;HYBRID;U-DV FE LAP;UHF mics-100 freqs-hand-held &lapel-feedback elim.;2514;1+;2095
MICHYB086;HYBRID;U-DV FE HEAD;UHF mics- 100 freqs- hand & headset- feedback elim.;2580;1+;2150
MICHYB087;HYBRID;U-DF LITE;"Compact UHF Dual hand-held Microphone Handheld: Ch & Freq display- Mute Receiver LCD Dis: Ch & Freq Receiver LEDs: RF (radio freq) & AF (audio freq) sync Volume: Dual rotatry on receiver- A&B Range: >30 meters Outputs: XLR bal / ch & mix 1/4"" jack";1021;1+;850
MICHYB088;HYBRID;U-SV MK3/V2 HAND;Single UHF mic- 100 freqs- hand-held. Li-batt;1763;1+;1469
MICHYB089;HYBRID;U-SV MK3/V2 LAP;Single UHF mic- 100 freqs- lapel. Li-batt;1763;1+;1469
MICHYB090;HYBRID;U-SV MK3/V2 HEAD;Single UHF mic- 100 freqs- headset. Li-batt;1823;1+;1519
MICHYB091;HYBRID;U-DV MK3/V2 HAND;Dual UHF mics- 100 freqs- 2 x hand-helds. Li-battery;2172;1+;1810
MICHYB092;HYBRID;U-DV MK3/V2 LAP;Dual UHF mics- 100 freqs- hand-held & Lapel. Li-batt;2172;1+;1810
MICHYB093;HYBRID;U-DV MK3/V2 HEAD;Dual UHF mics-100 freqs-hand-held &headset.Li-batt;2235;1+;1862
MICHYB094;HYBRID;U-DV M HAND;UHF mics- 100 freqs- 2 x hand-helds- true-div;2395;1+;1995
MICHYB095;HYBRID;U-DV M LAP;UHF mics- 100 freqs- hand-held & lapel- true div;2395;1+;1995
MICHYB096;HYBRID;U-DV M HEAD;UHF mics- 100 freqs- hand-held & headset- true div;2395;1+;1995
MICMON002;MONKEY BANAN;HAPA-RED;Studio USB powered condenser mic with shock mount- USB cable and bag. Red;1075;1+;895
MICMON003;MONKEY BANAN;HAPA-YELLOW;Studio USB powered condenser mic with shock mount- USB cable and bag. Yellow;1075;1+;895
MICMON004;MONKEY BANAN;HAPA-WHITE;Studio USB powered condenser mic with shock mount- USB cable and bag. White;1075;1+;895
MIXHYB001;HYBRID;ML802DUSBX;Desk top analogue mixer. 4 mono- 2 Stereo channel. 3 band eq/ch. DSP effect- MP3;2749;1+;2290
MIXHYB002;HYBRID;ML1202DUSBX;Desk top analogue mixer. 8 mono- 2 Stereo channel. 3 band eq/ch. DSP effect- MP3;3456;1+;2880
MIXHYB005;HYBRID;M602UBTX;Desk top analogue mixer. 6 mono ch. 60mm faders- 3 band eq/ch. DSP effect- MP3;3368;0;2806
MIXHYB006;HYBRID;M802UBTX;Desk top analogue mixer. 8 mono ch. 60mm faders- 3 band eq/ch. DSP effect- MP3;3583;1+;2985
MIXHYB007;HYBRID;M1202UBTX;Desk top analogue mixer. 12 mono ch. 60mm faders- 3 band eq/ch.DSP effect-MP3;4339;1+;3615
MIXHYB013;HYBRID;MC6002S;"Desk top analogue mixer. 2 mono- 2 Stereo channel. 3 band eq/ch. 1/4"" jack outputs";1589;1+;1324
MIXHYB014;HYBRID;SM802MS;Desk top analogue mixer. 4 mono- 2 Stereo channel. 3 band eq/ch. DSP effect;1548;1+;1290
MIXHYB015;HYBRID;M10800PUX;10 channel- analogue powered mixer- 2 x 400W / 4Ω 6 x mic & 2 x stereo channels- 3 band eq- gain- monitor send- bal/pan- 60mm faders 16-effect DSP w 2 × effect selector sw- 60mm fader- repeat- FX & mon send control;6659;<1;5549
MIXHYB026;HYBRID;PM6USB;6 channel 200W powered mixer with MP3 / Bluetooth;2729;1+;2274
MIXHYB027;HYBRID;ML860PDUX;8 ch-rotary- 2X300W mixer w MP3/Bluetooth/DSP FX;4854;1+;4045
MIXHYB028;HYBRID;ML1260PDUX;12 ch-rotary- 2X300W mixer wMP3/Bluetooth/DSP FX;5459;1+;4549
MIXHYB029;HYBRID;M8600PLUSB;8 ch- 2x300W power mix with MP3/Bluetooth/DSP FX;4957;1+;4130
MIXHYB030;HYBRID;M8200PUBTX;8 channel 200W powered mixer with MP3 / Bluetooth;2628;1+;2190
MIXHYB031;HYBRID;M121200PUX;12 channel- analogue powered mixer- 2 x 600W / 4Ω 8 x mic & 2 x stereo channels- 3 band eq- gain- monitor send- bal/pan- 60mm faders 16-effect DSP w 2 × effect selector sw- 60mm fader- repeat- FX & mon send control;7761;1+;6467
MIXHYB032;HYBRID;MD1818PUX;16 channel- analogue quad powered mixer- 2 x 600W & 2 x 300W / 4Ω 12 x mic & 2 x stereo ch- 3 band eq- gain- monitor send- bal/pan- 60mm faders 2 x 16-effect DSP- 60mm fader- repeat- FX & mon send control;13606;1+;11338
MIXHYB034;HYBRID;M1606UBTX;Desk top analogue mixer. 16 mono ch. 60mm faders- 3 band eq/ch. DSP effect-MP3;5432;1+;4526
MIXHYB035;HYBRID+;HM04;4 ch large format DJ mixer Inputs: 4 Switch ch (Line- Phono- USB)- 2 Mic ch Mic inputs: volume- bass & treble Inputs: rotary gain- 3 band eq- 60mm fad Built-in soundcard- in & out DSP FX & BPM 10 LED bar display- inputs & output Out: XLR bal-RCA booth;5161;1+;4300
MIXHYB036;HYBRID;ML860PDUU;8 ch- fader- 2X300W mixer w MP3/Bluetooth/DSP FX;4913;1+;4094
MIXHYB037;HYBRID;ML1260PDUU;12 ch- fader- 2X300W mixer w MP3/Bluetooth/DSP FX;5475;1+;4562
MIXHYB038;HYBRID;M1680BT;6 channel 180W powered mixer with MP3 / Bluetooth;2310;1+;1925
MIXHYB039;HYBRID;M12218DBT;12 ch- 2x180W power mix with MP3/Bluetooth/DSP FX;4328;1+;3606
MIXHYB040;HYBRID;MG2408FX;24 channel analogue mixer. 18 mic + 2 st channels. 2 x DSP effects. 4 sub-group;12957;1+;10797
MIXHYB041;HYBRID;MG3208FX;32 channel analogue mixer. 26 mic + 4 st channels. 2 x DSP effects. 4 sub-group;16353;1+;13627
MIXHYB042;HYBRID DJ;DM2P;2 channel DJ mixer with USB MP3 player;1149;1+;957
MIXHYB043;HYBRID DJ;DM3P;3 channel DJ mixer with USB MP3 player;1645;1+;1370
MIXHYB044;HYBRID DJ;CM3U;3 channel- 1 mic- DJ mixer;2994;1+;2495
MIXHYB045;HYBRID DJ;CM3UFX;3 channel- 1 mic- DJ mixer with effects;3203;1+;2669
MIXHYB046;HYBRID DJ;CM4U;4 channel- 2 mic- DJ mixer;3065;1+;2554
MIXHYB047;HYBRID DJ;CM4UFX;4 channel- 2 mic- DJ mixer with effects;3525;1+;2937
MIXHYB048;HYBRID;IM4.0P;4 channel installation mixer w MP3 media player- 2 x volume controlled outputs;3200;1+;2666
MIXHYB049;HYBRID;IM8.4U;8 channel (2 mic/6 line) installation mixer w USB interface- 4 x zone outputs;5136;1+;4280
MIXHYB057;HYBRID+;DM1606;"16 channel digital mixer (100mm motorized faders) In's: 4 x PEQ- gate- comp- matrix Main out: 8 x PEQ-delay- comp Outs: 6 bus-8 x PEQ-delay- comp Effects: 2 engines- bus send- pre-delay- dry/wet- reverb- echo- delay- repeat. Gen: 10"" Touch screen";23871;1+;19892
MIXHYB058;HYBRID+;DM3212;"32 channel digital mixer (100mm motor faders) In's: TFT screen- 4xPEQ- gate- comp- matrix Main out: 8xPEQ-delay- comp Outs: 10 bus-8 x PEQ-delay- comp Effects: 2 engines- bus send- pre-delay- dry/wet- reverb- echo- delay- repeat. Gen: 10"" Touch screen";42304;1+;35253
MONHYB002;HYBRID;U-MV MKII;UHF complete in-ear monitor system;3559;1+;2965
MONHYB003;HYBRID;U-MV MKII BELT PACK;UHF in-ear transmitter (belt-pack) & in-ears only;1451;1+;1209
MONHYB004;HYBRID;U-MV MKII IN EAR;In-ears only;128;1+;106
PAICEL001;CELTO;PAINT 5KG/BLACK;5Kg black speaker paint for DS flat-packs /re-finish of cabs. Suitable for roller/ spray;541;1+;450
PAICEL002;CELTO;PAINT 25KG/BLACK;25Kg black speaker paint for DS flat-packs/re-finish of cabs.Suitable for roller/spray;2521;1+;2100
PASHYB005;HYBRID+;XO2-3500-8;2-way X-over- 3500Hz- 500W- HF att- 8Ω(LF)- 8Ω(HF);457;1+;380
PASHYB006;HYBRID;PLB-XOVER;2-way crossover used in PLB15- 8Ω(LF)- 8Ω(HF);196;1+;163
PASHYB016;HYBRID+;XO215-3500-4;2-way X-over- 3500Hz- 1000W- HF att- 4Ω(LF)-8Ω(HF);537;0;447
PASHYB023;HYBRID;X1-2000-100;High-pass filter- 2000Hz- 100W- 8Ω(HF). Sold as pair;325;0;270
PASHYB024;HYBRID;X2-1800-400;2-way crossover- 1800Hz- 400W- 8Ω(LF)- 8Ω(HF);359;1+;299
PASHYB025;HYBRID;X2-3100-400;2-way crossover- 3100Hz- 400W- 8Ω(LF)- 8Ω(HF);294;1+;245
PASHYB026;HYBRID;X2-3500-300;2-way crossover- 3500Hz- 300W- 8Ω(LF)- 8Ω(HF);210;<1;175
PASHYB027;HYBRID;XLP-400-1000;Low-pass filter- 400Hz- 1000W- 8Ω(LF);294;1+;245
