"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"HER-SS710BPLUS","PSAHX0000047","Hercules Stands SS710B PLUS Gear Up Speaker Stand with Leveling Leg","18","R 3,737.00"
"RAD-R700010700","R700010700","Radial Cube 3 slot power-rack, desktop format, 500mA power supply","0","R 8,541.00"
"RAD-R800941400","R800941400","Radial R500-PSU PSU 500mA power supply for PowerStrip, Cube, JDV MKV, 4-pin XLR","0","R 1,566.00"
"RAD-R800941500","R800941500","Radial R15DC-UNIVERSAL PSU 15VDC - 100-240V Switching for Radial products, International (NEW 2020)","0","R 448.00"
"ADA-D800","","Adam Hall Cables D800 Thread adapter for mic holder 5/8" to 3/8"","28","R 36.00"
"RAD-R700010400","R700010400","Radial Powerhouse 10 slot power-rack, 19" 3RU, 1600 mA power supply","0","R 20,336.00"
"RAD-R700010800","R700010800","Radial SixPack 6 slot power-rack, desktop format,1600mA power supply","0","R 12,812.00"
"RAD-R700011110","R700011110","Radial Twin Servo Mic preamp, Jensen 990 opamp, dual Jensen transformers","0","R 15,817.00"
"RAD-R700013200","R700013200","Radial EXTC-500 Effects loop interface connects guitar pedals to the recording system","0","R 7,321.00"
"RAD-R700910000","R700910000","Radial ThumbSet  Thumbscrews for 500 Series racks & modules, 12 screws & washers","0","R 407.00"
"RAD-R700910100","R700910100","Radial 500 Series Screws Standard phillips screws for 500 Series racks and modules, 24 pack","0","R 204.00"
"RAD-R700910400","R700910400","Radial RackSet Thumbscrews for rackmount equipment, 12 screws and washers","0","R 918.00"
"RAD-R700910500","R700910500","Radial SixP19-RA Rack and desk mount adaptor for SixPack","0","R 1,378.00"
"RAD-R800014000","R800014000","Radial StageBug SB-4 Piezo Compact active DI for piezo pickups, low-cut filter, 48V phantom","0","R 1,993.00"
"RAD-R800014800","R800014800","Radial StageBug SB-48 Phantom Two channel 48V phantom power supply for mics and active DI boxes","0","R 3,322.00"
"RAD-R800015000","R800015000","Radial StageBug SB-5 Laptop Compact stereo DI for computers w/ attached cable, stereo or mono out","13","R 2,373.00"
"RAD-R800015090","R800015090","Radial SB-5 Bracket Desk mount L-Bracket for SB5","0","R 689.00"
"RAD-R800101200","R800101200","Radial JDI Stereo Passive DI, stereo for acoustic guitar, bass and keyboards","5","R 8,134.00"
"RAD-R800101600","R800101600","Radial JRAK 4 Rack adaptor houses up to 4 Radial DI boxes in a single 19" space","2","R 3,520.00"
"RAD-R800101700","R800101700","Radial J-Clamp Flanged adaptor for mounting standard size Radial DIs to any surface","0","R 1,176.00"
