"Product No.","Manufacturer Product No.","Product Description","Total SOH","Price Before Discount Ex Vat"
"NEM-008456","008456","Neumann M 150 Tube Set EU Vacuum Tube Microphone, Titanium Capsule, EA170, KT8 Cable, Aluminium Case","0","R 173,622.00"
"NEM-008460","008460","Neumann SG 105 Stand clip for KMS microphones, 3/8"/ 5/8" / 1/2" tripod thread, black","0","R 1,066.00"
"NEM-008525","008525","Neumann KM 185-MT Stereo Set Black Miniature Microphone Set, Hypercardioid, SG 21 Stand Swivel Mount","0","R 35,838.00"
"NEM-008526","008526","Neumann KM 185 Stereo Set Nickel Miniature Microphone Set, Hypercardioid, SG 21 Stand Swivel Mount","0","R 35,838.00"
"NEM-008529","008529","Neumann SG 5 Swivel mount, 3/8" threaded bolt, 3/8" / 5/8"/ 1/2" tripod thread, black","0","R 2,586.00"
"NEM-008533","008533","Neumann KK 104 S BK Cardiod Microphone Capsule, Black, Wireless System With Sennheiser SKM 5000/5200","0","R 20,607.00"
"NEM-008534","008534","Neumann KK 104 S Capsule Head, Cardioid, Nickel, Wireless System With Sennheiser SKM 5000/5200","0","R 20,607.00"
"NEM-008535","008535","Neumann WNS 110 Windscreen for KM 100 and KM D, KM A, and series 180, increased efficiency, black","0","R 1,066.00"
"NEM-008537","008537","Neumann N 248","0","R 17,783.00"
"NEM-008625","008625","Neumann KMS 104 PLUS BK Vocalist Microphone, Cardioid, Black, Condenser Microphone Capsule, SG 105","0","R 15,829.00"
"NEM-008626","008626","Neumann TLM 102 Large Diaphragm Microphone, Nickel, Cardioid Directional Characteristic","3","R 16,263.00"
"NEM-008627","008627","Neumann TLM 102 Large Diaphragm Microphone, Black, Cardioid Directional Characteristic","4","R 16,263.00"
"NEM-008631","008631","Neumann KM 183 A NX","0","R 29,322.00"
"NEM-008632","008632","Neumann KM 184 A nx","0","R 28,127.00"
"NEM-008634","008634","Neumann KM A Analog output stage for KK capsule heads, XLR-3F, 48V phantom power, nickel","0","R 16,263.00"
"NEM-008635","008635","Neumann KM A NX Output Stage, Nexel, Analog","0","R 16,263.00"
"NEM-008661","008661","Neumann U 87 AI-MT Studio Set Black Large Diaphragm Microphone, Omni, Cardioid, Figure-8","0","R 80,227.00"
"NEM-008666","008666","Neumann TLM 107 Large Diaphragm Microphone, Multipattern, SG 2 Swivel Mount, Wooden Box","1","R 32,471.00"
"NEM-008667","008667","Neumann TLM 107 BK","0","R 32,471.00"
"NEM-008673","008673","Neumann TLM 107 Studio Set Large Diaphragm Microphone, Multipattern, EA 4 Elastic Suspension -carton","0","R 34,643.00"
"NEM-399003","399003","Neumann NDH 20 Headphones Closed System, Black Edition, Circumaural, Foldable, 6.3/3.5mm Adaptor","3","R 13,005.00"
"NEM-399006","399006","Neumann NDH 30 Black Studio Headphone","0","R 14,743.00"
"NEM-399007","399007","Neumann BCM 104 MT Broadcast Condenser Microphone, Matte Black, Cardioid Directional Characteristic","0","R 24,978.00"
"NEM-399008","399008","Neumann BCM 705 MT Broadcast Dynamic Microphone, Matte Black, Hypercardioid Directional Characteristic","1","R 15,829.00"
"NEM-506719","506719","Neumann REK 4","0","R 14,308.00"
"NEM-506834","506834","Neumann KH 80 DSP A G EU Active Studio Monitor, Black, 4+1'', Special Neumann Control Software","8","R 12,571.00"
"NEM-506837","506837","Neumann KH 80 DSP A W EU","0","R 12,571.00"
"NEM-508296","508296","Neumann KH 750 DSP D G Active DSP Subwoofer, 10" Driver, 18-300Hz, Metallic Anthracite","0","R 38,987.00"
"SEN-000976","000976","Sennheiser MZW 441-A Foam Windshield, Anthracite, Grey","0","R 851.00"
"SEN-000984","000984","Sennheiser MD 421-II Dynamic Studio Super Cardioid Microphone, XLR-3M","0","R 9,978.00"
"SEN-001605","001605","Sennheiser MD 431-II Dynamic Super Cardioid Musicians Microphone, XLR-3M","1","R 12,305.00"
"SEN-001866","001866","Sennheiser MZM 10 Magnetic Mount","0","R 910.00"
"SEN-001883","001883","Sennheiser MZT 100-0 Anti-vibration Table Stand","0","R 2,627.00"
"SEN-002155","002155","Sennheiser MZQ 100 Quick Release Microphone Clamp","0","R 677.00"
"SEN-002324","2324","#Sennheiser GZL 1019-A1 Co-axial Connecting Cable, BNC/BNC","7","R 485.00"
"SEN-002325","2325","Sennheiser GZL 1019-A5 Co-axial Cable, 5m, BNC/BNC","10","R 990.00"
"SEN-002615","002615","Sennheiser MZQ 441 Microphone Clamp","0","R 1,070.00"
"SEN-003017","003017","Sennheiser MZS 40-0 Shockmount","0","R 4,127.00"
"SEN-003132","003132","Sennheiser MZP 40 Popshield","0","R 1,629.00"
"SEN-003744","003744","Sennheiser SZU 1032","0","R 640.00"
"SEN-003762","003762","Sennheiser ME 5004 Cardioid Condenser Microphone Module","0","R 9,937.00"
